,X_MSE_AV,X_MAE_AV,Y_MSE_AV,Y_MAE_AV,x_test,y_test,dir
351,3.441,1.855,64.093,8.006,8.0,30.0,33.767
352,0.865,0.93,117.405,10.835,9.0,30.0,59.135
353,7.376,2.716,46.278,6.803,10.0,30.0,26.827
354,0.033,0.183,89.754,9.474,11.0,30.0,44.894
355,0.318,0.564,35.069,5.922,12.0,30.0,17.694
356,7.154,2.675,48.16,6.94,13.0,30.0,27.657
357,6.011,2.452,39.056,6.249,14.0,30.0,22.533
358,16.167,4.021,7.722,2.779,15.0,30.0,11.945
359,17.834,4.223,55.974,7.482,1.0,31.0,36.904
360,34.788,5.898,10.386,3.223,2.0,31.0,22.587
361,4.289,2.071,61.643,7.851,3.0,31.0,32.966
362,0.032,0.178,32.535,5.704,4.0,31.0,16.283
363,0.765,0.875,26.98,5.194,5.0,31.0,13.873
364,0.281,0.53,16.08,4.01,6.0,31.0,8.181
365,2.09,1.446,47.369,6.882,7.0,31.0,24.73
366,2.496,1.58,191.586,13.841,8.0,31.0,97.041
367,0.351,0.593,77.787,8.82,9.0,31.0,39.069
368,2.758,1.661,187.58,13.696,10.0,31.0,95.169
369,0.832,0.912,102.145,10.107,11.0,31.0,51.489
370,9.103,3.017,28.103,5.301,12.0,31.0,18.603
371,2.239,1.496,27.72,5.265,13.0,31.0,14.979
372,16.32,4.04,64.604,8.038,14.0,31.0,40.462
